编号,缺陷接口,链接或描述,数量,是否确认
57150,tf.abs,https://github.com/tensorflow/tensorflow/issues/57150,1,是
57151,tf.clip_by_value,https://github.com/tensorflow/tensorflow/issues/57151,1,是
57153,"tf.config.list_logical_devices
tf.config.list_physical_devices",https://github.com/tensorflow/tensorflow/issues/57153,2,是
57159,tf.keras.backend.get_uid,https://github.com/tensorflow/tensorflow/issues/57159,1,是
57165,tf.keras.layers.Dense,https://github.com/tensorflow/tensorflow/issues/57165,3,是
57170,"tf.gather_nd
tf.gather
tf.keras.losses.sparse_categorical_crossentropy
tf.keras.metrics.SparseCategoricalCrossentropy",https://github.com/tensorflow/tensorflow/issues/57170,4,是
57173,"tf.keras.losses.sparse_categorical_crossentropy
tf.keras.metrics.SparseCategoricalCrossentropy
tf.losses.sparse_categorical_crossentropy
tf.metrics.SparseCategoricalCrossentropy",https://github.com/tensorflow/tensorflow/issues/57173,4,是
57525,tf.clip_by_norm,https://github.com/tensorflow/tensorflow/issues/57525,1,是
54415,tf.histogram_fixed_width_bins,https://github.com/tensorflow/tensorflow/issues/54415,1,是
57527,tf.image.convert_image_dtype,https://github.com/tensorflow/tensorflow/issues/57527,1,是
57551,tf.image.rot90,https://github.com/tensorflow/tensorflow/issues/57551,1,是
57526,tf.concat,https://github.com/tensorflow/tensorflow/issues/57526,1,拒绝
57174,tf.nn.embedding_lookup,https://github.com/tensorflow/tensorflow/issues/57174,1,拒绝
16968,tf.keras.backend.set_epsilon,https://github.com/keras-team/keras/issues/16968,1,是
16969,tf.keras.initializers.RandomUniform,https://github.com/keras-team/keras/issues/16969,1,是
16977,"tf.keras.layers.Conv3D
tf.keras.layers.Convolution1D",https://github.com/keras-team/keras/issues/16977,2,是
60561,tf.abs,https://github.com/tensorflow/tensorflow/issues/60561,1,拒绝
60449,tf.constant_initializer,https://github.com/tensorflow/tensorflow/issues/60449,1,是
60457,tf.eye,https://github.com/tensorflow/tensorflow/issues/60457,2,是
60562,tf.keras.initializers.get,https://github.com/tensorflow/tensorflow/issues/60562,1,拒绝
60511,"tf.math.greater
tf.math.greater_equal
tf.math.less
tf.math.less_equal
tf.math.maximum
tf.math.minimum",https://github.com/tensorflow/tensorflow/issues/60511,6,否
60513,"tf.math.is_non_decreasing
tf.math.is_strictly_increasing",https://github.com/tensorflow/tensorflow/issues/60513,2,是
60519,tf.math.rsqrt,https://github.com/tensorflow/tensorflow/issues/60519,2,是
60521,tf.nn.leaky_relu,https://github.com/tensorflow/tensorflow/issues/60521,1,是
60531,tf.data.experimental.dense_to_ragged_batch,https://github.com/tensorflow/tensorflow/issues/60531,1,是
59702,tf.cast,https://github.com/tensorflow/tensorflow/issues/59702,1,是
60533,tf.image.adjust_gamma,https://github.com/tensorflow/tensorflow/issues/60533,1,是
58712,tf.keras.layers.Layer,https://github.com/tensorflow/tensorflow/issues/58712,1,是
58703,tf.image.stateless_random_hue,https://github.com/tensorflow/tensorflow/issues/58703,1,是
,tf.add,"when input is bool, v2.4 isn't type-checked. While in v2.12, it throws an exception.",1,是
,tf.cumsum,"when reverse is bool, v2.4 wont throw an exception. While v2.12 throws an exception.",1,是
,tf.image.adjust_hue,"when delta isn't in [-1,1], v2.12 throws an exception. While v2.4 runs.",1,是
